age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,actual,probability,prediction,error_type
59,Self-emp-not-inc,73411,Prof-school,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,0,0.42445192,1,False Positive
47,Private,341814,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,0,0.80270565,1,False Positive
33,State-gov,79580,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,0,0.42582795,1,False Positive
26,Self-emp-not-inc,331861,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,1,0.11111747,0,False Negative
40,Private,142657,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,45,United-States,0,0.51497006,1,False Positive
31,Private,164461,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,73,United-States,0,0.4073567,1,False Positive
38,Private,156728,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,56,United-States,0,0.6708881,1,False Positive
34,Self-emp-not-inc,87209,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,0,0.35526484,1,False Positive
32,Private,50178,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1,0.14458425,0,False Negative
50,Local-gov,270221,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,43,United-States,1,0.07291639,0,False Negative
60,Private,188650,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,,1,0.10923989,0,False Negative
27,Private,185647,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,1,0.08302165,0,False Negative
47,Private,198200,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0,0.55356073,1,False Positive
31,Private,298871,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,0,0.6311486,1,False Positive
53,Private,98561,HS-grad,9,Widowed,Tech-support,Not-in-family,White,Male,0,0,39,United-States,1,0.11773371,0,False Negative
62,Private,72886,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.6493026,1,False Positive
32,Self-emp-inc,195447,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0,0.69161534,1,False Positive
39,Private,214816,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0,0.78274155,1,False Positive
46,Private,124733,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam,0,0.45037273,1,False Positive
66,,299616,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,0,0.35834816,1,False Positive
57,Private,127779,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.5182712,1,False Positive
88,Self-emp-not-inc,187097,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.42226234,1,False Positive
51,Self-emp-not-inc,222883,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,55,United-States,0,0.5888806,1,False Positive
36,Private,461337,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0,0.589769,1,False Positive
40,Private,210013,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0,0.3877418,1,False Positive
50,Private,400004,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0,0.7510366,1,False Positive
53,Private,340723,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0,0.38320342,1,False Positive
47,Private,185465,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,0,0.37807733,1,False Positive
41,Private,40151,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.28303126,0,False Negative
42,Private,449925,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,1,0.22379108,0,False Negative
27,,204773,Assoc-acdm,12,Married-civ-spouse,,Wife,White,Female,0,0,40,United-States,0,0.45406777,1,False Positive
30,Private,186932,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,0,0.6939847,1,False Positive
41,Private,174196,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,0,0.4438445,1,False Positive
38,Private,276552,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0,0.5324706,1,False Positive
33,Private,250804,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,England,0,0.74136883,1,False Positive
39,Private,25803,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,0,0.5647793,1,False Positive
33,Private,301251,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,1,0.3191172,0,False Negative
39,Private,176186,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1,0.33846006,0,False Negative
31,Self-emp-not-inc,119411,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,United-States,1,0.28719553,0,False Negative
44,Local-gov,354230,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.528879,1,False Positive
41,Private,255044,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,0,0.4825715,1,False Positive
46,Private,185291,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,1,0.127332,0,False Negative
30,,159303,Bachelors,13,Married-civ-spouse,,Wife,White,Female,0,0,4,United-States,0,0.5835503,1,False Positive
43,Private,195897,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.3290269,0,False Negative
66,Private,171331,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,1,0.28374678,0,False Negative
58,Private,322013,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.38833702,1,False Positive
49,Private,195727,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.7606836,1,False Positive
48,Private,119565,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.4002892,1,False Positive
37,Private,118486,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,4934,0,32,United-States,1,0.18704301,0,False Negative
45,Private,738812,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,0,0.49415407,1,False Positive
53,Private,152373,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,48,United-States,1,0.22941607,0,False Negative
42,Private,112607,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0,0.38164106,1,False Positive
41,Local-gov,183009,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,1,0.21128607,0,False Negative
43,Private,197397,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Other,Female,0,0,6,Puerto-Rico,0,0.38361537,1,False Positive
45,Private,132847,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,0,0.36498436,1,False Positive
44,Private,182383,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,0,0.5397772,1,False Positive
52,Private,29658,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,0.39715898,1,False Positive
54,Local-gov,238257,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0,0.41164908,1,False Positive
54,Private,68684,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,0,0.3998647,1,False Positive
54,Private,548361,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,98,United-States,0,0.7243165,1,False Positive
34,Private,85632,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1,0.33914948,0,False Negative
53,Private,176185,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.39415267,1,False Positive
50,Private,146429,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.40358555,1,False Positive
53,Local-gov,233734,Masters,14,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,1,0.18849987,0,False Negative
51,Self-emp-not-inc,388496,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,8,Puerto-Rico,1,0.08298119,0,False Negative
49,Self-emp-not-inc,48495,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,0,0.37922806,1,False Positive
35,Private,261382,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0,0.6741657,1,False Positive
42,Private,45363,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0,0.5084448,1,False Positive
36,Private,218729,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,30,United-States,1,0.07491919,0,False Negative
36,Self-emp-not-inc,180686,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0,0.87269944,1,False Positive
42,Private,377322,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0,0.3583775,1,False Positive
37,Private,123104,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0.82989806,1,False Positive
37,Private,216924,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,44,United-States,1,0.21746987,0,False Negative
29,Private,190539,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,Greece,1,0.17977619,0,False Negative
43,Self-emp-not-inc,241055,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0,0.6162152,1,False Positive
43,Federal-gov,262233,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,1,0.23602979,0,False Negative
33,Private,234067,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1,0.21255638,0,False Negative
59,Self-emp-not-inc,188003,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,1,0.22312085,0,False Negative
44,Self-emp-not-inc,255543,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,84,United-States,1,0.06868583,0,False Negative
74,,169303,HS-grad,9,Married-civ-spouse,,Husband,White,Male,6767,0,6,United-States,0,0.51116866,1,False Positive
52,Private,180881,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.7686869,1,False Positive
32,Private,128002,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,45,United-States,0,0.46166533,1,False Positive
48,Self-emp-inc,184787,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,1,0.19110686,0,False Negative
42,Private,147251,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36,United-States,0,0.57798076,1,False Positive
47,Private,167159,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1,0.33565763,0,False Negative
45,,51164,Some-college,10,Married-civ-spouse,,Wife,Black,Female,0,0,40,United-States,0,0.4927322,1,False Positive
54,Private,167552,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Haiti,1,0.050503023,0,False Negative
28,Private,115438,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,1,0.13616315,0,False Negative
58,Local-gov,98361,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0,0.4598044,1,False Positive
42,Private,176716,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,1,0.26705715,0,False Negative
36,Private,99146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,1,0.26436508,0,False Negative
62,Private,584259,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,0,0.4091382,1,False Positive
39,Private,137522,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,,1,0.2828161,0,False Negative
41,Private,159549,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,0.6951051,1,False Positive
46,Private,84790,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1,0.28683415,0,False Negative
32,Local-gov,222900,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,1,0.23241854,0,False Negative
52,Private,163678,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,0,0.5119894,1,False Positive
35,Private,150057,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,48,United-States,0,0.62810427,1,False Positive
30,Private,169496,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,15,United-States,1,0.084752984,0,False Negative
58,Private,372181,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,1,0.029259836,0,False Negative
67,Private,95113,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37,United-States,1,0.34734327,0,False Negative
28,Private,65078,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.118159205,0,False Negative
44,Private,204314,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,38,United-States,1,0.12743367,0,False Negative
48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,0,0.4608069,1,False Positive
32,Private,340940,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.70556194,1,False Positive
30,Private,217460,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0.6342841,1,False Positive
55,,106707,Assoc-acdm,12,Married-civ-spouse,,Husband,Black,Male,0,0,20,United-States,1,0.23232405,0,False Negative
50,Private,163671,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.39695024,1,False Positive
47,Private,148884,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,0,0.51392686,1,False Positive
29,Private,108253,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Other,Female,0,0,40,United-States,0,0.58657885,1,False Positive
29,Local-gov,94064,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0,0.46937147,1,False Positive
53,Private,274528,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,0,0.5566093,1,False Positive
43,Private,164693,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0,0.5225445,1,False Positive
66,,107744,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,0,0.39121795,1,False Positive
39,Federal-gov,110622,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,40,Philippines,0,0.7269179,1,False Positive
41,Private,319271,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0,0.5890045,1,False Positive
41,Local-gov,291831,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,0,0.66241145,1,False Positive
44,Private,33155,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,0,0.57181114,1,False Positive
60,Private,245062,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.296249,0,False Negative
53,Private,96062,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Greece,0,0.76210344,1,False Positive
35,Private,203628,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,1,0.29809397,0,False Negative
49,Private,144514,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,0.42782727,1,False Positive
47,Private,120131,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.54822826,1,False Positive
33,Private,122749,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,India,1,0.25161043,0,False Negative
34,Private,160449,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,44,United-States,1,0.22597632,0,False Negative
38,Private,114059,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0,0.5401283,1,False Positive
37,Private,328301,Some-college,10,Never-married,Tech-support,Unmarried,White,Female,4934,0,60,United-States,1,0.21782106,0,False Negative
38,Private,172538,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,0,0.46226656,1,False Positive
34,Private,193036,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,1,0.31039214,0,False Negative
64,Private,237581,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,Mexico,1,0.06580751,0,False Negative
28,Private,132686,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,0.5344981,1,False Positive
34,Private,132544,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,99,United-States,0,0.54033244,1,False Positive
38,Private,100295,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,50,Canada,1,0.1436866,0,False Negative
52,Private,343440,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0.58153707,1,False Positive
69,,167826,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,0,0.492893,1,False Positive
30,Private,270889,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1,0.3048425,0,False Negative
43,State-gov,222978,Doctorate,16,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,1,0.23226286,0,False Negative
45,Local-gov,318280,HS-grad,9,Widowed,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,1,0.15910324,0,False Negative
57,Federal-gov,313929,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,0.6160672,1,False Positive
53,Private,166386,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,40,China,0,0.42843455,1,False Positive
49,Federal-gov,233059,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.6449917,1,False Positive
41,Private,63105,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,1,0.042292643,0,False Negative
40,Private,77370,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.2763181,0,False Negative
25,Private,332409,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.14905025,0,False Negative
41,Private,201908,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,United-States,0,0.36249343,1,False Positive
45,Private,153141,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,,0,0.41401827,1,False Positive
36,Private,592930,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,United-States,1,0.2864988,0,False Negative
53,Private,71772,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0,0.6748776,1,False Positive
58,State-gov,400285,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,1,0.32178476,0,False Negative
30,Private,128065,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,0,0.3606606,1,False Positive
44,Private,210013,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1,0.2986442,0,False Negative
33,Self-emp-not-inc,33404,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,65,United-States,1,0.077765845,0,False Negative
46,Self-emp-not-inc,102869,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1,0.2859975,0,False Negative
63,Self-emp-not-inc,289741,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,41310,0,50,United-States,0,0.9864716,1,False Positive
61,Local-gov,176671,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States,0,0.5341055,1,False Positive
46,Private,175262,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,India,0,0.50016814,1,False Positive
39,Private,269722,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,0,0.70398843,1,False Positive
26,,167835,Bachelors,13,Married-civ-spouse,,Wife,White,Female,0,0,20,United-States,0,0.41570547,1,False Positive
60,Self-emp-not-inc,106118,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,1,0.27787948,0,False Negative
38,Local-gov,360494,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0,0.7461576,1,False Positive
41,Self-emp-not-inc,113324,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,1,0.14524226,0,False Negative
34,State-gov,44464,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,0,0.44559762,1,False Positive
38,Private,48779,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1,0.31388006,0,False Negative
33,Self-emp-not-inc,175502,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0,0.5447371,1,False Positive
50,Local-gov,97449,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,48,United-States,0,0.62614197,1,False Positive
64,Federal-gov,173754,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,0.43334538,1,False Positive
51,,165637,Masters,14,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,0,0.7664759,1,False Positive
58,Private,185459,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,0,0.42723426,1,False Positive
39,Self-emp-inc,33975,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0,0.36450112,1,False Positive
51,Self-emp-not-inc,256963,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0,0.4149354,1,False Positive
55,State-gov,169482,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,1,0.11012923,0,False Negative
51,Private,155983,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0,0.50129145,1,False Positive
37,Private,207066,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,70,United-States,0,0.6786653,1,False Positive
42,Private,390781,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,0,0.64401984,1,False Positive
56,Private,267652,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.60836816,1,False Positive
28,State-gov,134813,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,65,United-States,1,0.11568362,0,False Negative
56,Private,244580,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1,0.3375898,0,False Negative
27,Private,209085,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,1,0.25623628,0,False Negative
65,,36039,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,1,0.2712495,0,False Negative
29,Private,161097,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,1,0.058259588,0,False Negative
51,Federal-gov,215948,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,0,40,,0,0.35874012,1,False Positive
